problem;method;rate;diff
SL;Rand;k5;1.0
SL;Rand;k10;0.6666666666666666
SL;Rand;k15;0.4
SL;Rand;k20;0.4666666666666667
SL;Adapt;k5;1.0
SL;Adapt;k10;0.8235294117647058
SL;Adapt;k15;0.4117647058823529
SL;Adapt;k20;0.35294117647058826
CO;Rand;k5;1.0
CO;Rand;k10;0.9166666666666666
CO;Rand;k15;1.1666666666666667
CO;Rand;k20;0.6666666666666666
CO;Adapt;k5;1.0
CO;Adapt;k10;1.1428571428571428
CO;Adapt;k15;0.9285714285714286
CO;Adapt;k20;0.5714285714285714
CSL;Rand;k5;1.0
CSL;Rand;k10;1.0
CSL;Rand;k15;0.2727272727272727
CSL;Rand;k20;0.2727272727272727
CSL;Adapt;k5;1.0
CSL;Adapt;k10;0.8571428571428571
CSL;Adapt;k15;0.8571428571428571
CSL;Adapt;k20;0.8571428571428571
MD;Rand;k5;1.0
MD;Rand;k10;0.6470588235294118
MD;Rand;k15;0.29411764705882354
MD;Rand;k20;0.29411764705882354
MD;Adapt;k5;1.0
MD;Adapt;k10;0.9
MD;Adapt;k15;0.75
MD;Adapt;k20;0.7
